period_id,u,u2,y1,y2
0,0,2,3.1204,3.3417
1,1,2,4.6795,4.4236
2,2,2,6.2761,5.5044
3,3,2,7.6,6.2832
4,4,2,8.6633,6.8725
5,5,2,9.3508,7.4573
6,6,2,9.769,7.9617
7,7,2,8.8297,7.5198
8,8,2,8.2743,7.3232
9,9,2,9.7331,7.9675
10,10,2,8.403,7.4071
