sigOut,sigIn,sigPot
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.005,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.005,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.005,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.053
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,0.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.005,1.000,9.053
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.053
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.053
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
0.005,1.000,9.048
0.005,1.000,9.048
0.010,1.000,9.048
