time,sigOut,sigIn,sigPot
804.000,4.956,6.000,7.070
804.100,4.956,6.000,7.070
804.200,4.956,6.000,7.070
804.300,4.956,6.000,7.070
804.400,4.951,6.000,7.070
804.500,4.956,6.000,7.070
804.600,4.956,6.000,7.070
804.700,4.956,6.000,7.075
804.800,4.956,6.000,7.070
804.900,4.951,6.000,7.070
805.000,4.951,6.000,7.075
805.100,4.951,6.000,7.070
805.200,4.951,6.000,7.070
805.300,4.951,6.000,7.070
805.400,4.951,6.000,7.070
805.500,4.951,6.000,7.070
805.600,4.951,6.000,7.070
805.700,4.951,6.000,7.075
805.800,4.951,6.000,7.070
805.900,4.951,6.000,7.070
806.000,4.951,6.000,7.070
806.100,4.951,6.000,7.070
806.200,4.951,6.000,7.070
806.300,4.946,6.000,7.070
806.400,4.946,6.000,7.070
806.500,4.946,6.000,7.070
806.600,4.946,6.000,7.070
806.700,4.946,6.000,7.070
806.800,4.946,6.000,7.070
806.900,4.946,6.000,7.070
807.000,4.946,6.000,7.070
807.100,4.946,6.000,7.070
807.200,4.941,6.000,7.075
807.300,4.941,6.000,7.070
807.400,4.941,6.000,7.070
807.500,4.941,6.000,7.070
807.600,4.941,6.000,7.070
807.700,4.941,6.000,7.070
807.800,4.941,6.000,7.070
807.900,4.937,6.000,7.070
808.000,4.937,6.000,7.070
808.100,4.937,6.000,7.070
808.200,4.937,6.000,7.070
808.300,4.937,6.000,7.070
808.400,4.941,6.000,7.075
808.500,4.941,6.000,7.070
808.600,4.941,6.000,7.070
808.700,4.941,6.000,7.075
808.800,4.937,6.000,7.070
808.900,4.937,6.000,7.070
809.000,4.937,6.000,7.070
809.100,4.937,6.000,7.070
809.200,4.937,6.000,7.075
809.300,4.937,6.000,7.070
809.400,4.937,6.000,7.070
809.500,4.932,6.000,7.070
809.600,4.932,6.000,7.070
809.700,4.932,6.000,7.070
809.800,4.932,6.000,7.070
809.900,4.932,6.000,7.070
810.000,4.932,6.000,7.070
810.100,4.937,6.000,7.070
810.200,4.937,6.000,7.070
810.300,4.937,6.000,7.070
810.400,4.937,6.000,7.070
810.500,4.937,6.000,7.070
