time,sigOut,sigIn,sigPot
204.000,0.835,1.000,1.968
204.100,0.835,1.000,1.968
204.200,0.835,1.000,1.968
204.300,0.830,1.000,1.968
204.400,0.830,1.000,1.968
204.500,0.830,1.000,1.968
204.600,0.830,1.000,1.968
204.700,0.830,1.000,1.968
204.800,0.830,1.000,1.968
204.900,0.830,1.000,1.968
205.000,0.830,1.000,1.968
205.100,0.830,1.000,1.968
205.200,0.830,1.000,1.968
205.300,0.835,1.000,1.968
205.400,0.835,1.000,1.968
205.500,0.835,1.000,1.968
205.600,0.835,1.000,1.968
205.700,0.835,1.000,1.968
205.800,0.830,1.000,1.968
205.900,0.830,1.000,1.968
206.000,0.830,1.000,1.968
206.100,0.830,1.000,1.968
206.200,0.830,1.000,1.968
206.300,0.830,1.000,1.968
206.400,0.830,1.000,1.968
206.500,0.830,1.000,1.968
206.600,0.830,1.000,1.968
206.700,0.830,1.000,1.968
206.800,0.830,1.000,1.968
206.900,0.830,1.000,1.968
207.000,0.825,1.000,1.968
207.100,0.825,1.000,1.968
207.200,0.830,1.000,1.968
207.300,0.830,1.000,1.968
207.400,0.830,1.000,1.968
207.500,0.830,1.000,1.968
207.600,0.830,1.000,1.968
207.700,0.830,1.000,1.968
207.800,0.825,1.000,1.968
207.900,0.825,1.000,1.968
208.000,0.825,1.000,1.968
208.100,0.830,1.000,1.968
208.200,0.830,1.000,1.968
208.300,0.830,1.000,1.968
208.400,0.830,1.000,1.968
208.500,0.835,1.000,1.968
208.600,0.830,1.000,1.968
208.700,0.830,1.000,1.968
208.800,0.830,1.000,1.968
208.900,0.830,1.000,1.968
209.000,0.830,1.000,1.963
209.100,0.825,1.000,1.968
209.200,0.825,1.000,1.968
209.300,0.830,1.000,1.968
209.400,0.830,1.000,1.968
209.500,0.830,1.000,1.968
209.600,0.830,1.000,1.968
209.700,0.825,1.000,1.968
209.800,0.830,1.000,1.968
209.900,0.830,1.000,1.968
210.000,0.830,1.000,1.968
210.100,0.830,1.000,1.968
210.200,0.830,1.000,1.968
210.300,0.830,1.000,1.968
210.400,0.830,1.000,1.968
210.500,0.825,1.000,1.968
210.600,0.825,1.000,1.968
210.700,0.825,1.000,1.968
210.800,0.825,1.000,1.968
210.900,0.830,1.000,1.968
211.000,0.830,1.000,1.968
211.100,0.830,1.000,1.968
211.200,0.830,1.000,1.968
211.300,0.825,1.000,1.968
211.400,0.830,1.000,1.968
211.500,0.830,1.000,1.968
211.600,0.825,1.000,1.968
211.700,0.825,1.000,1.968
211.800,0.825,1.000,1.968
211.900,0.825,1.000,1.968
212.000,0.825,1.000,1.968
212.100,0.825,1.000,1.968
212.200,0.825,1.000,1.968
212.300,0.825,1.000,1.968
212.400,0.825,1.000,1.968
212.500,0.820,1.000,1.968
212.600,0.825,1.000,1.968
212.700,0.825,1.000,1.968
212.800,0.825,1.000,1.968
212.900,0.820,1.000,1.968
213.000,0.825,1.000,1.968
213.100,0.825,1.000,1.968
213.200,0.825,1.000,1.968
213.300,0.825,1.000,1.968
213.400,0.825,1.000,1.968
213.500,0.830,1.000,1.968
213.600,0.830,1.000,1.968
213.700,0.825,1.000,1.968
213.800,0.825,1.000,1.968
213.900,0.825,1.000,1.968
214.000,0.825,1.000,1.968
214.100,0.825,1.000,1.968
214.200,0.825,1.000,1.968
214.300,0.825,1.000,1.968
214.400,0.830,1.000,1.968
214.500,0.830,1.000,1.968
214.600,0.830,1.000,1.968
214.700,0.830,1.000,1.968
214.800,0.825,1.000,1.968
214.900,0.825,1.000,1.968
215.000,0.825,1.000,1.968
215.100,0.825,1.000,1.968
215.200,0.825,1.000,1.968
215.300,0.825,1.000,1.968
215.400,0.825,1.000,1.968
215.500,0.820,1.000,1.968
215.600,0.820,1.000,1.968
215.700,0.820,1.000,1.968
215.800,0.825,1.000,1.968
215.900,0.825,1.000,1.968
216.000,0.825,1.000,1.968
216.100,0.825,1.000,1.968
216.200,0.825,1.000,1.968
216.300,0.825,1.000,1.968
216.400,0.825,1.000,1.968
216.500,0.825,1.000,1.968
216.600,0.825,1.000,1.968
216.700,0.825,1.000,1.968
216.800,0.825,1.000,1.968
