time,sigOut,sigIn,sigPot
564.000,2.402,4.000,9.048
564.100,2.402,4.000,9.048
564.200,2.402,4.000,9.053
564.300,2.402,4.000,9.048
564.400,2.402,4.000,9.048
564.500,2.402,4.000,9.048
564.600,2.402,4.000,9.048
564.700,2.402,4.000,9.048
564.800,2.402,4.000,9.048
564.900,2.402,4.000,9.048
565.000,2.402,4.000,9.048
565.100,2.402,4.000,9.048
565.200,2.397,4.000,9.048
565.300,2.397,4.000,9.053
565.400,2.397,4.000,9.048
565.500,2.397,4.000,9.048
565.600,2.397,4.000,9.048
565.700,2.397,4.000,9.048
565.800,2.397,4.000,9.048
565.900,2.397,4.000,9.048
566.000,2.397,4.000,9.048
566.100,2.397,4.000,9.048
566.200,2.397,4.000,9.048
566.300,2.397,4.000,9.048
566.400,2.397,4.000,9.048
566.500,2.397,4.000,9.048
566.600,2.397,4.000,9.048
566.700,2.397,4.000,9.053
566.800,2.397,4.000,9.048
566.900,2.397,4.000,9.048
567.000,2.397,4.000,9.048
567.100,2.393,4.000,9.048
567.200,2.393,4.000,9.048
567.300,2.393,4.000,9.048
567.400,2.393,4.000,9.048
567.500,2.393,4.000,9.048
567.600,2.393,4.000,9.048
567.700,2.393,4.000,9.048
567.800,2.393,4.000,9.048
567.900,2.393,4.000,9.048
568.000,2.393,4.000,9.048
568.100,2.393,4.000,9.048
568.200,2.393,4.000,9.048
568.300,2.393,4.000,9.048
568.400,2.393,4.000,9.048
568.500,2.393,4.000,9.048
568.600,2.393,4.000,9.048
568.700,2.393,4.000,9.048
568.800,2.393,4.000,9.048
568.900,2.393,4.000,9.048
569.000,2.393,4.000,9.048
569.100,2.393,4.000,9.048
569.200,2.393,4.000,9.048
569.300,2.388,4.000,9.048
569.400,2.388,4.000,9.048
569.500,2.388,4.000,9.048
569.600,2.388,4.000,9.048
569.700,2.388,4.000,9.048
569.800,2.388,4.000,9.048
569.900,2.388,4.000,9.048
570.000,2.388,4.000,9.048
570.100,2.393,4.000,9.048
570.200,2.393,4.000,9.048
570.300,2.393,4.000,9.048
570.400,2.393,4.000,9.048
570.500,2.397,4.000,9.048
570.600,2.397,4.000,9.048
570.700,2.397,4.000,9.048
570.800,2.397,4.000,9.048
570.900,2.397,4.000,9.048
571.000,2.402,4.000,9.048
571.100,2.397,4.000,9.048
571.200,2.402,4.000,9.048
571.300,2.397,4.000,9.048
571.400,2.402,4.000,9.048
571.500,2.397,4.000,9.048
571.600,2.397,4.000,9.048
571.700,2.397,4.000,9.048
571.800,2.397,4.000,9.053
571.900,2.397,4.000,9.048
572.000,2.397,4.000,9.048
572.100,2.397,4.000,9.048
572.200,2.397,4.000,9.048
572.300,2.397,4.000,9.048
572.400,2.397,4.000,9.048
572.500,2.397,4.000,9.048
572.600,2.397,4.000,9.048
572.700,2.397,4.000,9.048
572.800,2.397,4.000,9.048
572.900,2.397,4.000,9.048
573.000,2.397,4.000,9.048
573.100,2.397,4.000,9.048
573.200,2.397,4.000,9.048
573.300,2.397,4.000,9.048
573.400,2.397,4.000,9.048
573.500,2.397,4.000,9.048
573.600,2.397,4.000,9.048
573.700,2.397,4.000,9.048
573.800,2.397,4.000,9.053
573.900,2.397,4.000,9.048
574.000,2.397,4.000,9.053
574.100,2.393,4.000,9.048
574.200,2.397,4.000,9.048
574.300,2.393,4.000,9.048
574.400,2.393,4.000,9.048
574.500,2.393,4.000,9.048
574.600,2.393,4.000,9.048
574.700,2.393,4.000,9.048
574.800,2.393,4.000,9.048
574.900,2.393,4.000,9.048
575.000,2.393,4.000,9.048
575.100,2.393,4.000,9.053
575.200,2.393,4.000,9.048
575.300,2.397,4.000,9.048
575.400,2.397,4.000,9.048
575.500,2.397,4.000,9.048
575.600,2.397,4.000,9.048
575.700,2.397,4.000,9.048
575.800,2.397,4.000,9.048
575.900,2.397,4.000,9.048
576.000,2.397,4.000,9.048
576.100,2.397,4.000,9.048
576.200,2.397,4.000,9.048
576.300,2.397,4.000,9.048
576.400,2.402,4.000,9.048
576.500,2.402,4.000,9.048
576.600,2.402,4.000,9.048
576.700,2.402,4.000,9.048
576.800,2.402,4.000,9.053
576.900,2.402,4.000,9.048
577.000,2.402,4.000,9.048
577.100,2.402,4.000,9.048
577.200,2.397,4.000,9.048
577.300,2.397,4.000,9.048
577.400,2.402,4.000,9.048
577.500,2.402,4.000,9.048
577.600,2.402,4.000,9.048
577.700,2.402,4.000,9.048
577.800,2.402,4.000,9.053
577.900,2.402,4.000,9.048
578.000,2.402,4.000,9.048
578.100,2.402,4.000,9.048
578.200,2.402,4.000,9.048
578.300,2.402,4.000,9.048
578.400,2.402,4.000,9.048
578.500,2.402,4.000,9.048
578.600,2.402,4.000,9.048
578.700,2.402,4.000,9.048
578.800,2.397,4.000,9.048
578.900,2.397,4.000,9.048
579.000,2.397,4.000,9.048
579.100,2.397,4.000,9.048
579.200,2.397,4.000,9.048
579.300,2.397,4.000,9.048
579.400,2.397,4.000,9.048
579.500,2.397,4.000,9.048
579.600,2.397,4.000,9.048
579.700,2.393,4.000,9.048
579.800,2.393,4.000,9.048
579.900,2.393,4.000,9.048
580.000,2.393,4.000,9.048
580.100,2.393,4.000,9.048
580.200,2.393,4.000,9.048
580.300,2.388,4.000,9.048
580.400,2.388,4.000,9.048
580.500,2.388,4.000,9.048
580.600,2.388,4.000,9.048
580.700,2.388,4.000,9.048
580.800,2.388,4.000,9.048
580.900,2.388,4.000,9.048
581.000,2.388,4.000,9.048
581.100,2.388,4.000,9.048
581.200,2.388,4.000,9.048
581.300,2.388,4.000,9.048
581.400,2.388,4.000,9.048
