time,sigOut,sigIn,sigPot
924.000,5.767,7.000,8.105
924.100,5.767,7.000,8.105
924.200,5.767,7.000,8.105
924.300,5.767,7.000,8.105
924.400,5.771,7.000,8.105
924.500,5.771,7.000,8.105
924.600,5.771,7.000,8.105
924.700,5.771,7.000,8.105
924.800,5.771,7.000,8.105
924.900,5.771,7.000,8.105
925.000,5.771,7.000,8.105
925.100,5.771,7.000,8.105
925.200,5.771,7.000,8.105
925.300,5.776,7.000,8.105
925.400,5.776,7.000,8.105
925.500,5.776,7.000,8.105
925.600,5.776,7.000,8.105
925.700,5.776,7.000,8.105
925.800,5.776,7.000,8.105
925.900,5.776,7.000,8.105
926.000,5.776,7.000,8.105
926.100,5.776,7.000,8.105
926.200,5.776,7.000,8.105
926.300,5.776,7.000,8.105
926.400,5.776,7.000,8.105
926.500,5.776,7.000,8.105
926.600,5.776,7.000,8.105
926.700,5.776,7.000,8.105
926.800,5.776,7.000,8.105
926.900,5.776,7.000,8.105
927.000,5.776,7.000,8.105
927.100,5.776,7.000,8.105
927.200,5.776,7.000,8.105
927.300,5.776,7.000,8.105
927.400,5.776,7.000,8.105
927.500,5.776,7.000,8.105
927.600,5.776,7.000,8.105
927.700,5.776,7.000,8.105
927.800,5.776,7.000,8.105
927.900,5.776,7.000,8.105
928.000,5.776,7.000,8.105
928.100,5.776,7.000,8.105
928.200,5.776,7.000,8.105
928.300,5.776,7.000,8.105
928.400,5.776,7.000,8.105
928.500,5.776,7.000,8.105
928.600,5.776,7.000,8.105
928.700,5.776,7.000,8.105
928.800,5.776,7.000,8.105
928.900,5.776,7.000,8.105
929.000,5.776,7.000,8.105
929.100,5.776,7.000,8.105
929.200,5.776,7.000,8.105
929.300,5.776,7.000,8.105
929.400,5.776,7.000,8.105
929.500,5.776,7.000,8.105
929.600,5.776,7.000,8.105
929.700,5.776,7.000,8.105
929.800,5.776,7.000,8.105
929.900,5.776,7.000,8.105
930.000,5.776,7.000,8.105
930.100,5.771,7.000,8.105
930.200,5.771,7.000,8.105
930.300,5.771,7.000,8.105
930.400,5.771,7.000,8.105
930.500,5.771,7.000,8.105
930.600,5.776,7.000,8.105
930.700,5.776,7.000,8.105
930.800,5.776,7.000,8.105
930.900,5.776,7.000,8.105
931.000,5.776,7.000,8.105
931.100,5.776,7.000,8.105
931.200,5.776,7.000,8.105
931.300,5.776,7.000,8.105
931.400,5.776,7.000,8.105
931.500,5.776,7.000,8.105
931.600,5.776,7.000,8.105
931.700,5.776,7.000,8.105
931.800,5.776,7.000,8.105
931.900,5.776,7.000,8.105
932.000,5.776,7.000,8.105
932.100,5.781,7.000,8.105
932.200,5.781,7.000,8.105
932.300,5.781,7.000,8.105
932.400,5.781,7.000,8.105
932.500,5.781,7.000,8.105
932.600,5.781,7.000,8.105
932.700,5.781,7.000,8.105
932.800,5.786,7.000,8.105
932.900,5.786,7.000,8.105
933.000,5.786,7.000,8.105
933.100,5.781,7.000,8.105
933.200,5.786,7.000,8.105
933.300,5.786,7.000,8.105
933.400,5.786,7.000,8.105
933.500,5.786,7.000,8.105
933.600,5.786,7.000,8.105
933.700,5.786,7.000,8.105
933.800,5.786,7.000,8.105
933.900,5.786,7.000,8.105
934.000,5.786,7.000,8.105
