time,sigOut,sigIn,sigPot
204.000,0.303,1.000,4.004
204.100,0.308,1.000,4.004
204.200,0.308,1.000,4.004
204.300,0.303,1.000,4.004
204.400,0.308,1.000,4.004
204.500,0.303,1.000,4.004
204.600,0.308,1.000,4.004
204.700,0.303,1.000,4.004
204.800,0.303,1.000,4.004
204.900,0.308,1.000,4.004
205.000,0.303,1.000,4.004
205.100,0.303,1.000,4.004
205.200,0.308,1.000,4.004
205.300,0.303,1.000,4.004
205.400,0.308,1.000,4.004
205.500,0.303,1.000,4.004
205.600,0.308,1.000,4.004
205.700,0.308,1.000,4.004
205.800,0.303,1.000,4.004
205.900,0.308,1.000,4.004
206.000,0.303,1.000,4.004
206.100,0.303,1.000,4.004
206.200,0.303,1.000,4.004
206.300,0.303,1.000,4.004
206.400,0.303,1.000,4.004
206.500,0.303,1.000,4.004
206.600,0.303,1.000,4.004
206.700,0.303,1.000,4.004
206.800,0.303,1.000,4.004
206.900,0.303,1.000,4.004
207.000,0.303,1.000,4.004
207.100,0.308,1.000,4.004
207.200,0.303,1.000,4.004
207.300,0.303,1.000,4.004
207.400,0.308,1.000,4.004
207.500,0.303,1.000,4.004
207.600,0.308,1.000,4.004
207.700,0.303,1.000,4.004
207.800,0.303,1.000,4.004
207.900,0.308,1.000,4.004
208.000,0.303,1.000,4.004
208.100,0.308,1.000,4.004
208.200,0.303,1.000,4.004
208.300,0.303,1.000,4.004
208.400,0.303,1.000,4.004
208.500,0.303,1.000,4.004
208.600,0.303,1.000,4.004
208.700,0.303,1.000,4.004
208.800,0.303,1.000,4.004
208.900,0.303,1.000,4.004
209.000,0.303,1.000,4.004
209.100,0.308,1.000,4.004
209.200,0.303,1.000,4.004
209.300,0.308,1.000,4.004
209.400,0.303,1.000,4.004
209.500,0.303,1.000,4.004
209.600,0.303,1.000,4.004
209.700,0.303,1.000,4.004
209.800,0.303,1.000,4.004
209.900,0.303,1.000,4.004
210.000,0.303,1.000,4.004
210.100,0.308,1.000,4.004
210.200,0.303,1.000,4.004
210.300,0.308,1.000,4.004
210.400,0.303,1.000,4.004
210.500,0.303,1.000,4.004
210.600,0.303,1.000,4.004
210.700,0.303,1.000,4.004
210.800,0.303,1.000,4.004
210.900,0.303,1.000,4.004
211.000,0.303,1.000,4.004
211.100,0.303,1.000,4.004
211.200,0.303,1.000,4.004
211.300,0.303,1.000,4.004
211.400,0.303,1.000,4.004
211.500,0.303,1.000,4.004
211.600,0.308,1.000,4.004
211.700,0.303,1.000,4.004
211.800,0.303,1.000,4.004
211.900,0.303,1.000,4.004
212.000,0.303,1.000,4.004
212.100,0.303,1.000,4.004
212.200,0.303,1.000,4.004
212.300,0.303,1.000,4.004
212.400,0.303,1.000,4.004
212.500,0.303,1.000,4.004
212.600,0.303,1.000,4.004
212.700,0.303,1.000,4.004
212.800,0.303,1.000,4.004
212.900,0.303,1.000,4.004
213.000,0.303,1.000,4.004
213.100,0.303,1.000,4.004
213.200,0.303,1.000,4.004
213.300,0.303,1.000,4.004
213.400,0.303,1.000,4.004
213.500,0.303,1.000,4.004
213.600,0.303,1.000,4.004
213.700,0.303,1.000,4.004
213.800,0.303,1.000,4.004
213.900,0.303,1.000,4.004
214.000,0.303,1.000,4.004
214.100,0.303,1.000,4.004
214.200,0.303,1.000,4.004
214.300,0.303,1.000,4.004
214.400,0.303,1.000,4.004
214.500,0.303,1.000,4.004
214.600,0.303,1.000,4.004
214.700,0.303,1.000,4.004
214.800,0.303,1.000,4.004
214.900,0.303,1.000,4.004
215.000,0.303,1.000,4.004
215.100,0.303,1.000,4.004
215.200,0.303,1.000,4.004
215.300,0.308,1.000,4.004
215.400,0.303,1.000,4.004
215.500,0.303,1.000,4.004
215.600,0.303,1.000,4.004
215.700,0.303,1.000,4.004
215.800,0.303,1.000,4.004
215.900,0.303,1.000,4.004
216.000,0.303,1.000,4.004
216.100,0.303,1.000,4.004
216.200,0.303,1.000,4.004
216.300,0.303,1.000,4.004
216.400,0.303,1.000,4.004
216.500,0.303,1.000,4.004
216.600,0.303,1.000,4.004
216.700,0.303,1.000,4.004
216.800,0.303,1.000,4.004
216.900,0.303,1.000,4.004
217.000,0.303,1.000,4.004
217.100,0.303,1.000,4.004
217.200,0.303,1.000,4.004
217.300,0.303,1.000,4.004
217.400,0.303,1.000,4.004
217.500,0.303,1.000,4.004
217.600,0.303,1.000,4.004
217.700,0.303,1.000,4.004
217.800,0.303,1.000,4.004
217.900,0.303,1.000,4.004
218.000,0.303,1.000,4.004
218.100,0.303,1.000,4.004
