time,sigOut,sigIn,sigPot
324.000,0.332,2.000,9.048
324.100,0.332,2.000,9.048
324.200,0.332,2.000,9.048
324.300,0.332,2.000,9.048
324.400,0.332,2.000,9.048
324.500,0.332,2.000,9.048
324.600,0.332,2.000,9.048
324.700,0.332,2.000,9.048
324.800,0.332,2.000,9.048
324.900,0.332,2.000,9.048
325.000,0.332,2.000,9.048
325.100,0.332,2.000,9.048
325.200,0.332,2.000,9.048
325.300,0.327,2.000,9.048
325.400,0.332,2.000,9.048
325.500,0.332,2.000,9.048
325.600,0.332,2.000,9.048
325.700,0.327,2.000,9.048
325.800,0.332,2.000,9.048
325.900,0.327,2.000,9.048
326.000,0.327,2.000,9.048
326.100,0.327,2.000,9.048
326.200,0.327,2.000,9.048
326.300,0.332,2.000,9.048
326.400,0.327,2.000,9.048
326.500,0.332,2.000,9.048
326.600,0.332,2.000,9.048
326.700,0.332,2.000,9.048
326.800,0.332,2.000,9.048
326.900,0.332,2.000,9.048
327.000,0.332,2.000,9.048
327.100,0.332,2.000,9.048
327.200,0.337,2.000,9.048
327.300,0.332,2.000,9.048
327.400,0.332,2.000,9.048
327.500,0.332,2.000,9.048
327.600,0.332,2.000,9.048
327.700,0.332,2.000,9.048
327.800,0.337,2.000,9.048
327.900,0.337,2.000,9.048
328.000,0.332,2.000,9.048
328.100,0.337,2.000,9.048
328.200,0.332,2.000,9.048
328.300,0.337,2.000,9.048
328.400,0.332,2.000,9.048
328.500,0.332,2.000,9.048
328.600,0.332,2.000,9.048
328.700,0.332,2.000,9.048
328.800,0.332,2.000,9.048
328.900,0.332,2.000,9.048
329.000,0.332,2.000,9.048
329.100,0.332,2.000,9.048
329.200,0.332,2.000,9.048
329.300,0.332,2.000,9.048
329.400,0.332,2.000,9.048
329.500,0.332,2.000,9.048
329.600,0.327,2.000,9.048
329.700,0.332,2.000,9.048
329.800,0.332,2.000,9.048
329.900,0.332,2.000,9.048
330.000,0.332,2.000,9.048
330.100,0.332,2.000,9.048
330.200,0.332,2.000,9.048
330.300,0.327,2.000,9.048
330.400,0.332,2.000,9.048
