sigOut,sigIn,sigPot
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.000,0.000,5.000
0.000,0.000,5.000
0.005,0.000,5.000
0.005,0.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.000,1.000,4.995
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,4.995
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.000,1.000,5.000
0.005,1.000,5.000
0.005,1.000,5.000
