time,sigOut,sigIn,sigPot
324.000,0.547,2.000,8.105
324.100,0.547,2.000,8.101
324.200,0.547,2.000,8.105
324.300,0.547,2.000,8.105
324.400,0.547,2.000,8.105
324.500,0.547,2.000,8.101
324.600,0.547,2.000,8.105
324.700,0.547,2.000,8.105
324.800,0.547,2.000,8.105
324.900,0.547,2.000,8.105
325.000,0.547,2.000,8.105
325.100,0.547,2.000,8.105
325.200,0.547,2.000,8.105
325.300,0.547,2.000,8.105
325.400,0.547,2.000,8.105
325.500,0.547,2.000,8.105
325.600,0.547,2.000,8.101
325.700,0.547,2.000,8.105
325.800,0.547,2.000,8.105
325.900,0.547,2.000,8.105
326.000,0.547,2.000,8.101
326.100,0.547,2.000,8.105
326.200,0.547,2.000,8.105
326.300,0.547,2.000,8.101
326.400,0.547,2.000,8.101
326.500,0.547,2.000,8.101
326.600,0.547,2.000,8.105
326.700,0.547,2.000,8.101
326.800,0.547,2.000,8.105
326.900,0.547,2.000,8.105
327.000,0.547,2.000,8.105
327.100,0.547,2.000,8.105
327.200,0.547,2.000,8.105
327.300,0.547,2.000,8.105
327.400,0.547,2.000,8.105
327.500,0.547,2.000,8.105
327.600,0.542,2.000,8.105
327.700,0.542,2.000,8.101
327.800,0.542,2.000,8.101
327.900,0.542,2.000,8.105
328.000,0.542,2.000,8.101
328.100,0.547,2.000,8.101
328.200,0.547,2.000,8.101
328.300,0.547,2.000,8.101
328.400,0.542,2.000,8.105
328.500,0.542,2.000,8.105
328.600,0.542,2.000,8.105
328.700,0.542,2.000,8.105
328.800,0.542,2.000,8.105
328.900,0.547,2.000,8.105
329.000,0.547,2.000,8.105
329.100,0.542,2.000,8.105
329.200,0.547,2.000,8.105
329.300,0.547,2.000,8.105
329.400,0.547,2.000,8.105
329.500,0.547,2.000,8.105
329.600,0.547,2.000,8.105
329.700,0.547,2.000,8.105
329.800,0.547,2.000,8.101
329.900,0.547,2.000,8.101
330.000,0.547,2.000,8.105
330.100,0.547,2.000,8.101
330.200,0.547,2.000,8.105
330.300,0.547,2.000,8.101
330.400,0.547,2.000,8.105
330.500,0.547,2.000,8.105
330.600,0.547,2.000,8.101
330.700,0.547,2.000,8.105
330.800,0.547,2.000,8.105
330.900,0.547,2.000,8.105
331.000,0.547,2.000,8.105
331.100,0.547,2.000,8.105
331.200,0.547,2.000,8.105
331.300,0.542,2.000,8.105
331.400,0.542,2.000,8.101
331.500,0.547,2.000,8.105
331.600,0.542,2.000,8.105
331.700,0.547,2.000,8.105
331.800,0.547,2.000,8.101
331.900,0.547,2.000,8.105
332.000,0.547,2.000,8.105
332.100,0.547,2.000,8.105
332.200,0.542,2.000,8.105
332.300,0.542,2.000,8.105
332.400,0.547,2.000,8.105
332.500,0.547,2.000,8.105
332.600,0.547,2.000,8.105
332.700,0.547,2.000,8.105
332.800,0.547,2.000,8.105
332.900,0.547,2.000,8.105
333.000,0.547,2.000,8.105
333.100,0.547,2.000,8.105
333.200,0.547,2.000,8.105
333.300,0.547,2.000,8.105
333.400,0.547,2.000,8.105
333.500,0.547,2.000,8.105
333.600,0.547,2.000,8.105
333.700,0.547,2.000,8.105
333.800,0.547,2.000,8.101
333.900,0.547,2.000,8.105
334.000,0.547,2.000,8.105
334.100,0.547,2.000,8.101
334.200,0.547,2.000,8.101
334.300,0.547,2.000,8.105
334.400,0.547,2.000,8.105
334.500,0.547,2.000,8.105
334.600,0.547,2.000,8.105
334.700,0.547,2.000,8.105
334.800,0.547,2.000,8.105
334.900,0.547,2.000,8.105
335.000,0.547,2.000,8.105
335.100,0.547,2.000,8.105
335.200,0.542,2.000,8.105
335.300,0.547,2.000,8.105
335.400,0.547,2.000,8.105
335.500,0.547,2.000,8.105
335.600,0.547,2.000,8.105
335.700,0.547,2.000,8.105
335.800,0.547,2.000,8.105
335.900,0.547,2.000,8.105
336.000,0.547,2.000,8.101
336.100,0.547,2.000,8.105
336.200,0.542,2.000,8.105
336.300,0.542,2.000,8.105
336.400,0.547,2.000,8.105
