time,sigOut,sigIn,sigPot
804.000,4.312,6.000,9.048
804.100,4.312,6.000,9.053
804.200,4.307,6.000,9.048
804.300,4.312,6.000,9.053
804.400,4.307,6.000,9.048
804.500,4.312,6.000,9.048
804.600,4.312,6.000,9.053
804.700,4.312,6.000,9.048
804.800,4.312,6.000,9.053
804.900,4.312,6.000,9.053
805.000,4.312,6.000,9.053
805.100,4.312,6.000,9.053
805.200,4.307,6.000,9.048
805.300,4.312,6.000,9.053
805.400,4.312,6.000,9.048
805.500,4.307,6.000,9.048
805.600,4.307,6.000,9.048
805.700,4.307,6.000,9.048
805.800,4.307,6.000,9.048
805.900,4.307,6.000,9.048
806.000,4.307,6.000,9.053
806.100,4.307,6.000,9.048
806.200,4.302,6.000,9.053
806.300,4.302,6.000,9.053
806.400,4.302,6.000,9.048
806.500,4.302,6.000,9.048
806.600,4.302,6.000,9.053
806.700,4.302,6.000,9.053
806.800,4.302,6.000,9.048
806.900,4.302,6.000,9.048
807.000,4.302,6.000,9.053
807.100,4.302,6.000,9.053
807.200,4.302,6.000,9.048
807.300,4.302,6.000,9.048
807.400,4.302,6.000,9.048
807.500,4.302,6.000,9.048
807.600,4.302,6.000,9.048
807.700,4.297,6.000,9.048
807.800,4.297,6.000,9.053
807.900,4.297,6.000,9.048
808.000,4.297,6.000,9.048
808.100,4.297,6.000,9.048
808.200,4.297,6.000,9.053
808.300,4.297,6.000,9.053
808.400,4.297,6.000,9.053
808.500,4.297,6.000,9.053
808.600,4.297,6.000,9.048
808.700,4.297,6.000,9.053
808.800,4.297,6.000,9.053
808.900,4.297,6.000,9.048
809.000,4.297,6.000,9.048
809.100,4.292,6.000,9.053
809.200,4.292,6.000,9.053
809.300,4.292,6.000,9.048
809.400,4.292,6.000,9.048
809.500,4.292,6.000,9.053
809.600,4.292,6.000,9.053
809.700,4.292,6.000,9.048
809.800,4.292,6.000,9.053
809.900,4.292,6.000,9.053
810.000,4.292,6.000,9.048
810.100,4.292,6.000,9.048
810.200,4.292,6.000,9.053
810.300,4.287,6.000,9.048
810.400,4.292,6.000,9.053
810.500,4.287,6.000,9.053
810.600,4.287,6.000,9.053
810.700,4.287,6.000,9.053
810.800,4.287,6.000,9.053
810.900,4.287,6.000,9.048
811.000,4.287,6.000,9.053
811.100,4.287,6.000,9.053
811.200,4.287,6.000,9.053
811.300,4.287,6.000,9.048
811.400,4.287,6.000,9.053
811.500,4.287,6.000,9.048
811.600,4.287,6.000,9.053
811.700,4.287,6.000,9.048
811.800,4.287,6.000,9.053
811.900,4.287,6.000,9.053
812.000,4.287,6.000,9.048
812.100,4.287,6.000,9.053
812.200,4.287,6.000,9.048
812.300,4.287,6.000,9.053
812.400,4.287,6.000,9.053
812.500,4.287,6.000,9.053
812.600,4.287,6.000,9.053
812.700,4.292,6.000,9.048
812.800,4.292,6.000,9.053
812.900,4.292,6.000,9.053
813.000,4.292,6.000,9.053
813.100,4.297,6.000,9.053
813.200,4.297,6.000,9.048
813.300,4.297,6.000,9.053
813.400,4.297,6.000,9.048
813.500,4.297,6.000,9.048
813.600,4.297,6.000,9.053
813.700,4.292,6.000,9.048
813.800,4.297,6.000,9.053
813.900,4.302,6.000,9.053
814.000,4.302,6.000,9.053
814.100,4.307,6.000,9.053
814.200,4.312,6.000,9.053
814.300,4.312,6.000,9.053
814.400,4.316,6.000,9.053
814.500,4.316,6.000,9.053
814.600,4.321,6.000,9.053
814.700,4.326,6.000,9.053
814.800,4.331,6.000,9.053
814.900,4.331,6.000,9.053
815.000,4.336,6.000,9.048
815.100,4.341,6.000,9.048
815.200,4.346,6.000,9.053
815.300,4.346,6.000,9.053
815.400,4.351,6.000,9.053
815.500,4.351,6.000,9.053
815.600,4.355,6.000,9.048
815.700,4.355,6.000,9.048
815.800,4.360,6.000,9.048
815.900,4.360,6.000,9.053
816.000,4.365,6.000,9.053
816.100,4.365,6.000,9.048
816.200,4.365,6.000,9.048
816.300,4.365,6.000,9.053
816.400,4.370,6.000,9.053
816.500,4.370,6.000,9.053
816.600,4.370,6.000,9.048
816.700,4.370,6.000,9.053
816.800,4.370,6.000,9.053
816.900,4.370,6.000,9.053
817.000,4.370,6.000,9.053
817.100,4.370,6.000,9.053
817.200,4.370,6.000,9.053
817.300,4.370,6.000,9.053
817.400,4.375,6.000,9.053
817.500,4.375,6.000,9.053
817.600,4.375,6.000,9.053
817.700,4.380,6.000,9.048
817.800,4.380,6.000,9.053
817.900,4.380,6.000,9.053
818.000,4.380,6.000,9.048
818.100,4.380,6.000,9.053
818.200,4.380,6.000,9.053
818.300,4.380,6.000,9.053
818.400,4.380,6.000,9.048
818.500,4.380,6.000,9.048
818.600,4.380,6.000,9.048
818.700,4.380,6.000,9.053
818.800,4.380,6.000,9.053
818.900,4.380,6.000,9.053
819.000,4.380,6.000,9.053
819.100,4.380,6.000,9.053
819.200,4.375,6.000,9.048
819.300,4.375,6.000,9.048
819.400,4.375,6.000,9.053
819.500,4.375,6.000,9.048
819.600,4.375,6.000,9.053
819.700,4.375,6.000,9.053
819.800,4.375,6.000,9.048
819.900,4.375,6.000,9.053
820.000,4.375,6.000,9.053
820.100,4.370,6.000,9.053
820.200,4.370,6.000,9.048
820.300,4.370,6.000,9.053
820.400,4.370,6.000,9.053
820.500,4.370,6.000,9.048
820.600,4.370,6.000,9.053
820.700,4.375,6.000,9.048
820.800,4.375,6.000,9.053
820.900,4.375,6.000,9.053
821.000,4.380,6.000,9.053
821.100,4.380,6.000,9.053
821.200,4.380,6.000,9.053
821.300,4.380,6.000,9.053
821.400,4.380,6.000,9.053
821.500,4.380,6.000,9.048
821.600,4.380,6.000,9.053
821.700,4.380,6.000,9.053
821.800,4.380,6.000,9.053
821.900,4.380,6.000,9.053
822.000,4.375,6.000,9.053
822.100,4.380,6.000,9.053
822.200,4.375,6.000,9.053
822.300,4.375,6.000,9.053
822.400,4.375,6.000,9.048
822.500,4.375,6.000,9.048
822.600,4.375,6.000,9.048
822.700,4.375,6.000,9.048
822.800,4.375,6.000,9.053
822.900,4.375,6.000,9.048
823.000,4.370,6.000,9.048
823.100,4.375,6.000,9.048
823.200,4.370,6.000,9.048
823.300,4.370,6.000,9.053
823.400,4.370,6.000,9.053
823.500,4.370,6.000,9.053
823.600,4.370,6.000,9.053
823.700,4.370,6.000,9.053
823.800,4.365,6.000,9.053
823.900,4.365,6.000,9.053
824.000,4.365,6.000,9.053
824.100,4.365,6.000,9.053
824.200,4.360,6.000,9.053
824.300,4.360,6.000,9.053
824.400,4.360,6.000,9.053
824.500,4.360,6.000,9.048
824.600,4.355,6.000,9.053
824.700,4.355,6.000,9.048
824.800,4.355,6.000,9.053
824.900,4.355,6.000,9.053
825.000,4.351,6.000,9.053
825.100,4.351,6.000,9.048
825.200,4.351,6.000,9.053
825.300,4.351,6.000,9.053
825.400,4.351,6.000,9.053
825.500,4.351,6.000,9.048
825.600,4.351,6.000,9.053
825.700,4.346,6.000,9.053
825.800,4.346,6.000,9.048
825.900,4.346,6.000,9.053
826.000,4.346,6.000,9.053
826.100,4.346,6.000,9.053
826.200,4.346,6.000,9.053
826.300,4.346,6.000,9.053
826.400,4.346,6.000,9.053
826.500,4.346,6.000,9.048
826.600,4.346,6.000,9.053
826.700,4.346,6.000,9.053
826.800,4.346,6.000,9.053
826.900,4.346,6.000,9.053
827.000,4.346,6.000,9.053
827.100,4.346,6.000,9.048
827.200,4.346,6.000,9.053
827.300,4.351,6.000,9.053
827.400,4.351,6.000,9.053
827.500,4.351,6.000,9.053
827.600,4.351,6.000,9.053
827.700,4.351,6.000,9.048
827.800,4.351,6.000,9.053
827.900,4.351,6.000,9.053
828.000,4.346,6.000,9.053
828.100,4.346,6.000,9.053
828.200,4.346,6.000,9.053
828.300,4.346,6.000,9.048
828.400,4.346,6.000,9.053
828.500,4.346,6.000,9.053
828.600,4.346,6.000,9.053
828.700,4.341,6.000,9.048
828.800,4.341,6.000,9.053
828.900,4.341,6.000,9.053
829.000,4.341,6.000,9.048
829.100,4.341,6.000,9.053
829.200,4.341,6.000,9.048
829.300,4.336,6.000,9.053
829.400,4.336,6.000,9.053
829.500,4.336,6.000,9.053
829.600,4.336,6.000,9.053
829.700,4.331,6.000,9.053
829.800,4.331,6.000,9.053
829.900,4.331,6.000,9.048
830.000,4.331,6.000,9.053
830.100,4.331,6.000,9.048
830.200,4.331,6.000,9.053
830.300,4.331,6.000,9.053
830.400,4.331,6.000,9.053
830.500,4.336,6.000,9.053
830.600,4.336,6.000,9.053
830.700,4.336,6.000,9.053
830.800,4.336,6.000,9.053
830.900,4.336,6.000,9.048
831.000,4.331,6.000,9.048
831.100,4.331,6.000,9.053
831.200,4.331,6.000,9.053
831.300,4.331,6.000,9.048
831.400,4.331,6.000,9.048
831.500,4.331,6.000,9.053
831.600,4.331,6.000,9.053
831.700,4.331,6.000,9.053
831.800,4.331,6.000,9.048
831.900,4.326,6.000,9.053
832.000,4.326,6.000,9.053
832.100,4.331,6.000,9.053
832.200,4.331,6.000,9.053
832.300,4.331,6.000,9.053
832.400,4.331,6.000,9.048
832.500,4.331,6.000,9.048
832.600,4.331,6.000,9.053
832.700,4.331,6.000,9.053
832.800,4.331,6.000,9.053
832.900,4.336,6.000,9.053
833.000,4.336,6.000,9.048
833.100,4.336,6.000,9.053
833.200,4.336,6.000,9.053
833.300,4.336,6.000,9.048
833.400,4.336,6.000,9.048
833.500,4.336,6.000,9.053
833.600,4.336,6.000,9.053
833.700,4.336,6.000,9.053
833.800,4.336,6.000,9.048
833.900,4.336,6.000,9.053
834.000,4.336,6.000,9.053
834.100,4.336,6.000,9.048
834.200,4.331,6.000,9.053
834.300,4.336,6.000,9.048
834.400,4.336,6.000,9.053
834.500,4.336,6.000,9.048
834.600,4.336,6.000,9.053
834.700,4.331,6.000,9.048
834.800,4.336,6.000,9.053
834.900,4.331,6.000,9.053
835.000,4.336,6.000,9.048
835.100,4.331,6.000,9.048
835.200,4.331,6.000,9.048
835.300,4.331,6.000,9.048
835.400,4.336,6.000,9.053
835.500,4.336,6.000,9.048
835.600,4.336,6.000,9.048
835.700,4.336,6.000,9.053
835.800,4.341,6.000,9.053
835.900,4.341,6.000,9.053
836.000,4.341,6.000,9.053
836.100,4.346,6.000,9.053
836.200,4.346,6.000,9.053
836.300,4.346,6.000,9.053
836.400,4.346,6.000,9.053
836.500,4.351,6.000,9.053
836.600,4.351,6.000,9.048
836.700,4.351,6.000,9.053
836.800,4.351,6.000,9.053
836.900,4.351,6.000,9.053
837.000,4.351,6.000,9.048
837.100,4.351,6.000,9.053
837.200,4.351,6.000,9.053
837.300,4.351,6.000,9.053
837.400,4.351,6.000,9.053
837.500,4.351,6.000,9.053
837.600,4.351,6.000,9.048
837.700,4.355,6.000,9.053
837.800,4.355,6.000,9.053
837.900,4.355,6.000,9.053
838.000,4.355,6.000,9.053
838.100,4.360,6.000,9.048
838.200,4.365,6.000,9.053
838.300,4.370,6.000,9.053
838.400,4.370,6.000,9.053
838.500,4.375,6.000,9.053
838.600,4.380,6.000,9.053
838.700,4.380,6.000,9.053
838.800,4.385,6.000,9.053
838.900,4.390,6.000,9.048
839.000,4.390,6.000,9.053
839.100,4.395,6.000,9.053
839.200,4.399,6.000,9.048
839.300,4.399,6.000,9.053
839.400,4.404,6.000,9.053
839.500,4.404,6.000,9.053
839.600,4.409,6.000,9.053
839.700,4.409,6.000,9.053
839.800,4.414,6.000,9.053
839.900,4.414,6.000,9.048
