time,sigOut,sigIn,sigPot
204.000,0.005,1.000,6.055
204.100,0.005,1.000,6.055
204.200,0.005,1.000,6.055
204.300,0.005,1.000,6.055
204.400,0.005,1.000,6.055
204.500,0.005,1.000,6.055
204.600,0.005,1.000,6.055
204.700,0.005,1.000,6.055
204.800,0.005,1.000,6.055
204.900,0.005,1.000,6.055
205.000,0.005,1.000,6.055
205.100,0.005,1.000,6.055
205.200,0.005,1.000,6.055
205.300,0.005,1.000,6.055
205.400,0.005,1.000,6.055
205.500,0.005,1.000,6.055
205.600,0.005,1.000,6.055
205.700,0.005,1.000,6.055
205.800,0.005,1.000,6.055
205.900,0.005,1.000,6.055
206.000,0.005,1.000,6.055
206.100,0.005,1.000,6.055
206.200,0.005,1.000,6.055
206.300,0.005,1.000,6.055
206.400,0.005,1.000,6.055
206.500,0.005,1.000,6.055
206.600,0.005,1.000,6.055
206.700,0.005,1.000,6.055
206.800,0.005,1.000,6.055
206.900,0.005,1.000,6.055
207.000,0.005,1.000,6.055
207.100,0.005,1.000,6.055
207.200,0.005,1.000,6.055
207.300,0.005,1.000,6.055
207.400,0.005,1.000,6.055
207.500,0.005,1.000,6.055
207.600,0.005,1.000,6.055
207.700,0.005,1.000,6.055
207.800,0.005,1.000,6.055
207.900,0.005,1.000,6.055
208.000,0.005,1.000,6.055
208.100,0.005,1.000,6.055
208.200,0.005,1.000,6.055
208.300,0.005,1.000,6.055
208.400,0.005,1.000,6.055
208.500,0.005,1.000,6.055
208.600,0.005,1.000,6.055
208.700,0.005,1.000,6.055
208.800,0.005,1.000,6.055
208.900,0.005,1.000,6.055
209.000,0.005,1.000,6.055
209.100,0.005,1.000,6.055
209.200,0.005,1.000,6.055
209.300,0.005,1.000,6.055
209.400,0.005,1.000,6.055
209.500,0.005,1.000,6.055
209.600,0.005,1.000,6.055
209.700,0.005,1.000,6.055
209.800,0.005,1.000,6.055
209.900,0.005,1.000,6.055
210.000,0.005,1.000,6.055
210.100,0.005,1.000,6.055
210.200,0.005,1.000,6.055
210.300,0.005,1.000,6.055
210.400,0.005,1.000,6.055
210.500,0.005,1.000,6.055
210.600,0.005,1.000,6.055
210.700,0.005,1.000,6.055
210.800,0.005,1.000,6.055
210.900,0.005,1.000,6.055
211.000,0.005,1.000,6.055
211.100,0.005,1.000,6.055
211.200,0.005,1.000,6.055
211.300,0.005,1.000,6.055
211.400,0.005,1.000,6.055
211.500,0.005,1.000,6.055
211.600,0.005,1.000,6.055
211.700,0.005,1.000,6.055
211.800,0.005,1.000,6.055
211.900,0.005,1.000,6.055
212.000,0.005,1.000,6.055
212.100,0.005,1.000,6.055
212.200,0.005,1.000,6.055
212.300,0.005,1.000,6.055
212.400,0.005,1.000,6.055
212.500,0.005,1.000,6.055
212.600,0.005,1.000,6.055
212.700,0.005,1.000,6.055
212.800,0.005,1.000,6.055
212.900,0.005,1.000,6.055
213.000,0.005,1.000,6.055
213.100,0.005,1.000,6.055
213.200,0.005,1.000,6.055
213.300,0.005,1.000,6.055
213.400,0.005,1.000,6.055
213.500,0.005,1.000,6.055
213.600,0.005,1.000,6.055
213.700,0.005,1.000,6.055
213.800,0.005,1.000,6.055
213.900,0.005,1.000,6.055
214.000,0.005,1.000,6.055
214.100,0.005,1.000,6.055
214.200,0.005,1.000,6.055
214.300,0.005,1.000,6.055
214.400,0.005,1.000,6.055
214.500,0.005,1.000,6.055
214.600,0.005,1.000,6.055
214.700,0.005,1.000,6.055
214.800,0.005,1.000,6.055
214.900,0.005,1.000,6.055
215.000,0.005,1.000,6.055
215.100,0.005,1.000,6.055
215.200,0.005,1.000,6.055
215.300,0.005,1.000,6.055
215.400,0.005,1.000,6.055
215.500,0.005,1.000,6.055
215.600,0.005,1.000,6.055
215.700,0.005,1.000,6.055
215.800,0.005,1.000,6.055
215.900,0.005,1.000,6.055
216.000,0.005,1.000,6.055
216.100,0.005,1.000,6.055
216.200,0.005,1.000,6.055
216.300,0.005,1.000,6.055
216.400,0.005,1.000,6.055
216.500,0.005,1.000,6.055
216.600,0.005,1.000,6.055
216.700,0.005,1.000,6.055
216.800,0.005,1.000,6.055
216.900,0.005,1.000,6.055
217.000,0.005,1.000,6.055
217.100,0.005,1.000,6.055
217.200,0.005,1.000,6.055
217.300,0.005,1.000,6.055
217.400,0.005,1.000,6.055
217.500,0.005,1.000,6.055
217.600,0.005,1.000,6.055
217.700,0.005,1.000,6.055
217.800,0.005,1.000,6.055
217.900,0.005,1.000,6.055
218.000,0.005,1.000,6.055
218.100,0.005,1.000,6.055
218.200,0.005,1.000,6.055
218.300,0.005,1.000,6.055
218.400,0.005,1.000,6.055
218.500,0.005,1.000,6.055
218.600,0.005,1.000,6.055
218.700,0.005,1.000,6.055
218.800,0.005,1.000,6.055
218.900,0.005,1.000,6.055
219.000,0.005,1.000,6.055
219.100,0.005,1.000,6.055
219.200,0.005,1.000,6.055
219.300,0.005,1.000,6.055
219.400,0.005,1.000,6.055
219.500,0.005,1.000,6.055
219.600,0.005,1.000,6.055
219.700,0.005,1.000,6.055
219.800,0.005,1.000,6.055
219.900,0.005,1.000,6.055
220.000,0.005,1.000,6.055
220.100,0.005,1.000,6.055
220.200,0.005,1.000,6.055
220.300,0.005,1.000,6.055
220.400,0.005,1.000,6.055
220.500,0.005,1.000,6.055
220.600,0.005,1.000,6.055
220.700,0.005,1.000,6.055
220.800,0.005,1.000,6.055
220.900,0.005,1.000,6.055
221.000,0.005,1.000,6.055
221.100,0.005,1.000,6.055
221.200,0.005,1.000,6.055
221.300,0.005,1.000,6.055
221.400,0.005,1.000,6.055
221.500,0.005,1.000,6.055
221.600,0.005,1.000,6.055
221.700,0.005,1.000,6.055
221.800,0.005,1.000,6.055
221.900,0.005,1.000,6.055
222.000,0.005,1.000,6.055
222.100,0.005,1.000,6.055
222.200,0.005,1.000,6.055
222.300,0.005,1.000,6.055
222.400,0.005,1.000,6.055
222.500,0.005,1.000,6.055
222.600,0.005,1.000,6.055
222.700,0.005,1.000,6.055
222.800,0.005,1.000,6.055
222.900,0.005,1.000,6.055
223.000,0.005,1.000,6.055
223.100,0.005,1.000,6.055
223.200,0.005,1.000,6.055
223.300,0.005,1.000,6.055
223.400,0.005,1.000,6.055
223.500,0.005,1.000,6.055
223.600,0.005,1.000,6.055
223.700,0.005,1.000,6.055
223.800,0.005,1.000,6.055
223.900,0.005,1.000,6.055
224.000,0.005,1.000,6.055
224.100,0.005,1.000,6.055
224.200,0.005,1.000,6.055
224.300,0.005,1.000,6.055
224.400,0.005,1.000,6.055
224.500,0.005,1.000,6.055
224.600,0.005,1.000,6.055
224.700,0.005,1.000,6.055
224.800,0.005,1.000,6.055
224.900,0.005,1.000,6.055
225.000,0.005,1.000,6.055
225.100,0.005,1.000,6.055
225.200,0.005,1.000,6.055
225.300,0.005,1.000,6.055
225.400,0.005,1.000,6.055
225.500,0.005,1.000,6.055
225.600,0.005,1.000,6.055
225.700,0.005,1.000,6.055
225.800,0.005,1.000,6.055
225.900,0.005,1.000,6.055
226.000,0.005,1.000,6.055
226.100,0.005,1.000,6.055
226.200,0.005,1.000,6.055
226.300,0.005,1.000,6.055
226.400,0.005,1.000,6.055
226.500,0.005,1.000,6.055
226.600,0.005,1.000,6.055
226.700,0.005,1.000,6.055
226.800,0.005,1.000,6.055
226.900,0.005,1.000,6.055
227.000,0.005,1.000,6.055
227.100,0.005,1.000,6.055
227.200,0.005,1.000,6.055
227.300,0.005,1.000,6.055
227.400,0.005,1.000,6.055
227.500,0.005,1.000,6.055
227.600,0.005,1.000,6.055
227.700,0.005,1.000,6.055
227.800,0.005,1.000,6.055
227.900,0.005,1.000,6.055
228.000,0.005,1.000,6.055
228.100,0.005,1.000,6.055
228.200,0.005,1.000,6.055
228.300,0.005,1.000,6.055
228.400,0.005,1.000,6.055
228.500,0.005,1.000,6.055
228.600,0.005,1.000,6.055
228.700,0.005,1.000,6.055
228.800,0.005,1.000,6.055
228.900,0.005,1.000,6.055
229.000,0.005,1.000,6.055
229.100,0.005,1.000,6.055
229.200,0.005,1.000,6.055
229.300,0.005,1.000,6.055
229.400,0.005,1.000,6.055
229.500,0.005,1.000,6.055
229.600,0.005,1.000,6.055
229.700,0.005,1.000,6.055
229.800,0.005,1.000,6.055
229.900,0.005,1.000,6.055
230.000,0.005,1.000,6.055
230.100,0.005,1.000,6.055
230.200,0.005,1.000,6.055
230.300,0.005,1.000,6.055
230.400,0.005,1.000,6.055
230.500,0.005,1.000,6.055
230.600,0.005,1.000,6.055
230.700,0.005,1.000,6.055
230.800,0.005,1.000,6.055
230.900,0.005,1.000,6.055
231.000,0.005,1.000,6.055
231.100,0.005,1.000,6.055
231.200,0.005,1.000,6.055
231.300,0.005,1.000,6.055
231.400,0.005,1.000,6.055
231.500,0.005,1.000,6.055
231.600,0.005,1.000,6.055
231.700,0.005,1.000,6.055
231.800,0.005,1.000,6.055
231.900,0.005,1.000,6.055
232.000,0.005,1.000,6.055
232.100,0.005,1.000,6.055
232.200,0.005,1.000,6.055
232.300,0.005,1.000,6.055
232.400,0.005,1.000,6.055
232.500,0.005,1.000,6.055
232.600,0.005,1.000,6.055
232.700,0.005,1.000,6.055
232.800,0.005,1.000,6.055
232.900,0.005,1.000,6.055
233.000,0.005,1.000,6.055
233.100,0.005,1.000,6.055
233.200,0.005,1.000,6.055
233.300,0.005,1.000,6.055
233.400,0.005,1.000,6.055
233.500,0.005,1.000,6.055
233.600,0.005,1.000,6.055
233.700,0.005,1.000,6.055
233.800,0.005,1.000,6.055
233.900,0.005,1.000,6.055
234.000,0.005,1.000,6.055
234.100,0.005,1.000,6.055
234.200,0.005,1.000,6.055
234.300,0.005,1.000,6.055
234.400,0.005,1.000,6.055
234.500,0.005,1.000,6.055
234.600,0.005,1.000,6.055
234.700,0.005,1.000,6.055
234.800,0.005,1.000,6.055
234.900,0.005,1.000,6.055
235.000,0.005,1.000,6.055
235.100,0.005,1.000,6.055
235.200,0.005,1.000,6.055
235.300,0.005,1.000,6.055
235.400,0.005,1.000,6.055
235.500,0.005,1.000,6.055
235.600,0.005,1.000,6.055
235.700,0.005,1.000,6.055
235.800,0.005,1.000,6.055
235.900,0.005,1.000,6.055
236.000,0.005,1.000,6.055
236.100,0.005,1.000,6.055
236.200,0.005,1.000,6.055
236.300,0.005,1.000,6.055
236.400,0.005,1.000,6.055
236.500,0.005,1.000,6.055
236.600,0.005,1.000,6.055
236.700,0.005,1.000,6.055
236.800,0.005,1.000,6.055
236.900,0.005,1.000,6.055
237.000,0.005,1.000,6.055
237.100,0.005,1.000,6.055
237.200,0.005,1.000,6.055
237.300,0.005,1.000,6.055
237.400,0.005,1.000,6.055
237.500,0.005,1.000,6.055
237.600,0.005,1.000,6.055
237.700,0.005,1.000,6.055
237.800,0.005,1.000,6.055
237.900,0.005,1.000,6.055
238.000,0.005,1.000,6.055
238.100,0.005,1.000,6.055
238.200,0.005,1.000,6.055
238.300,0.005,1.000,6.055
238.400,0.005,1.000,6.055
238.500,0.005,1.000,6.055
238.600,0.005,1.000,6.055
238.700,0.005,1.000,6.055
238.800,0.005,1.000,6.055
238.900,0.005,1.000,6.055
239.000,0.005,1.000,6.055
239.100,0.005,1.000,6.055
239.200,0.005,1.000,6.055
239.300,0.005,1.000,6.055
239.400,0.005,1.000,6.055
239.500,0.005,1.000,6.055
239.600,0.005,1.000,6.055
239.700,0.005,1.000,6.055
239.800,0.005,1.000,6.055
239.900,0.005,1.000,6.055
