sigOut,sigIn,sigPot
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,0.000
-0.005,0.000,-0.005
-0.005,0.000,0.000
1.328,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.328,1.000,0.000
1.328,1.000,-0.005
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,-0.005
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
