time,sigOut,sigIn,sigPot
1044.000,9.785,8.000,3.022
1044.100,9.785,8.000,3.022
1044.200,9.785,8.000,3.022
1044.300,9.785,8.000,3.022
1044.400,9.790,8.000,3.022
1044.500,9.785,8.000,3.022
1044.600,9.790,8.000,3.022
1044.700,9.790,8.000,3.022
1044.800,9.790,8.000,3.022
1044.900,9.790,8.000,3.022
1045.000,9.785,8.000,3.022
1045.100,9.785,8.000,3.022
1045.200,9.785,8.000,3.022
1045.300,9.785,8.000,3.022
1045.400,9.785,8.000,3.022
1045.500,9.780,8.000,3.022
1045.600,9.780,8.000,3.022
1045.700,9.775,8.000,3.018
1045.800,9.775,8.000,3.022
1045.900,9.780,8.000,3.022
1046.000,9.780,8.000,3.022
1046.100,9.780,8.000,3.022
1046.200,9.785,8.000,3.022
1046.300,9.785,8.000,3.022
1046.400,9.790,8.000,3.022
1046.500,9.790,8.000,3.018
1046.600,9.795,8.000,3.018
1046.700,9.800,8.000,3.022
1046.800,9.800,8.000,3.022
1046.900,9.805,8.000,3.022
1047.000,9.819,8.000,3.022
1047.100,9.829,8.000,3.022
1047.200,9.834,8.000,3.022
1047.300,9.844,8.000,3.022
1047.400,9.849,8.000,3.022
1047.500,9.858,8.000,3.022
1047.600,9.863,8.000,3.022
1047.700,9.863,8.000,3.022
1047.800,9.868,8.000,3.022
1047.900,9.868,8.000,3.022
1048.000,9.878,8.000,3.022
1048.100,9.878,8.000,3.022
1048.200,9.878,8.000,3.022
1048.300,9.878,8.000,3.022
1048.400,9.878,8.000,3.022
1048.500,9.878,8.000,3.022
1048.600,9.873,8.000,3.022
1048.700,9.873,8.000,3.022
1048.800,9.873,8.000,3.022
1048.900,9.873,8.000,3.022
1049.000,9.873,8.000,3.022
1049.100,9.873,8.000,3.022
1049.200,9.873,8.000,3.022
1049.300,9.868,8.000,3.022
1049.400,9.868,8.000,3.022
1049.500,9.868,8.000,3.022
1049.600,9.868,8.000,3.022
1049.700,9.868,8.000,3.022
1049.800,9.868,8.000,3.022
1049.900,9.863,8.000,3.022
1050.000,9.863,8.000,3.022
1050.100,9.868,8.000,3.022
1050.200,9.868,8.000,3.022
1050.300,9.863,8.000,3.022
1050.400,9.863,8.000,3.018
1050.500,9.868,8.000,3.022
1050.600,9.868,8.000,3.022
1050.700,9.868,8.000,3.022
1050.800,9.868,8.000,3.018
1050.900,9.868,8.000,3.018
1051.000,9.868,8.000,3.022
1051.100,9.868,8.000,3.022
1051.200,9.868,8.000,3.022
1051.300,9.868,8.000,3.022
1051.400,9.868,8.000,3.022
1051.500,9.868,8.000,3.022
1051.600,9.873,8.000,3.022
1051.700,9.873,8.000,3.022
1051.800,9.873,8.000,3.022
1051.900,9.873,8.000,3.022
