time,sigOut,sigIn,sigPot
1044.000,8.564,8.000,5.005
1044.100,8.564,8.000,5.005
1044.200,8.560,8.000,5.005
1044.300,8.560,8.000,5.005
1044.400,8.560,8.000,5.000
1044.500,8.560,8.000,5.005
1044.600,8.560,8.000,5.005
1044.700,8.560,8.000,5.005
1044.800,8.560,8.000,5.005
1044.900,8.560,8.000,5.005
1045.000,8.560,8.000,5.005
1045.100,8.560,8.000,5.005
1045.200,8.560,8.000,5.005
1045.300,8.560,8.000,5.005
1045.400,8.560,8.000,5.005
1045.500,8.560,8.000,5.005
1045.600,8.555,8.000,5.005
1045.700,8.555,8.000,5.005
1045.800,8.555,8.000,5.000
1045.900,8.555,8.000,5.005
1046.000,8.555,8.000,5.005
1046.100,8.555,8.000,5.005
1046.200,8.555,8.000,5.005
1046.300,8.555,8.000,5.005
1046.400,8.555,8.000,5.005
1046.500,8.555,8.000,5.005
1046.600,8.555,8.000,5.005
1046.700,8.555,8.000,5.005
1046.800,8.555,8.000,5.005
1046.900,8.555,8.000,5.005
1047.000,8.555,8.000,5.005
1047.100,8.555,8.000,5.005
1047.200,8.555,8.000,5.005
1047.300,8.555,8.000,5.005
1047.400,8.560,8.000,5.005
1047.500,8.560,8.000,5.005
1047.600,8.560,8.000,5.005
1047.700,8.560,8.000,5.005
1047.800,8.560,8.000,5.005
1047.900,8.564,8.000,5.005
1048.000,8.564,8.000,5.005
1048.100,8.560,8.000,5.005
1048.200,8.564,8.000,5.005
1048.300,8.560,8.000,5.005
1048.400,8.564,8.000,5.005
1048.500,8.564,8.000,5.005
1048.600,8.564,8.000,5.005
1048.700,8.564,8.000,5.005
1048.800,8.564,8.000,5.005
1048.900,8.564,8.000,5.005
1049.000,8.564,8.000,5.005
1049.100,8.564,8.000,5.005
1049.200,8.569,8.000,5.005
1049.300,8.569,8.000,5.000
1049.400,8.569,8.000,5.005
1049.500,8.569,8.000,5.005
1049.600,8.569,8.000,5.005
1049.700,8.564,8.000,5.005
1049.800,8.564,8.000,5.000
1049.900,8.564,8.000,5.005
1050.000,8.564,8.000,5.005
1050.100,8.564,8.000,5.005
1050.200,8.564,8.000,5.005
1050.300,8.564,8.000,5.005
1050.400,8.560,8.000,5.005
1050.500,8.560,8.000,5.005
1050.600,8.560,8.000,5.005
1050.700,8.555,8.000,5.005
1050.800,8.555,8.000,5.005
1050.900,8.555,8.000,5.005
1051.000,8.555,8.000,5.005
1051.100,8.555,8.000,5.000
1051.200,8.555,8.000,5.005
1051.300,8.555,8.000,5.005
1051.400,8.555,8.000,5.005
1051.500,8.555,8.000,5.005
1051.600,8.555,8.000,5.005
1051.700,8.555,8.000,5.005
1051.800,8.555,8.000,5.005
1051.900,8.560,8.000,5.005
1052.000,8.560,8.000,5.005
1052.100,8.560,8.000,5.005
1052.200,8.555,8.000,5.005
1052.300,8.555,8.000,5.005
1052.400,8.555,8.000,5.005
1052.500,8.555,8.000,5.005
1052.600,8.555,8.000,5.005
1052.700,8.560,8.000,5.005
1052.800,8.560,8.000,5.005
1052.900,8.560,8.000,5.005
1053.000,8.560,8.000,5.005
1053.100,8.560,8.000,5.000
1053.200,8.560,8.000,5.005
1053.300,8.560,8.000,5.000
1053.400,8.555,8.000,5.005
1053.500,8.555,8.000,5.005
1053.600,8.555,8.000,5.005
1053.700,8.555,8.000,5.005
1053.800,8.555,8.000,5.000
1053.900,8.550,8.000,5.005
1054.000,8.550,8.000,5.005
1054.100,8.550,8.000,5.005
1054.200,8.545,8.000,5.005
1054.300,8.545,8.000,5.005
1054.400,8.545,8.000,5.005
1054.500,8.545,8.000,5.005
1054.600,8.545,8.000,5.005
1054.700,8.545,8.000,5.005
1054.800,8.545,8.000,5.000
1054.900,8.545,8.000,5.000
1055.000,8.550,8.000,5.005
1055.100,8.550,8.000,5.005
1055.200,8.550,8.000,5.000
1055.300,8.550,8.000,5.005
1055.400,8.550,8.000,5.005
1055.500,8.550,8.000,5.005
1055.600,8.550,8.000,5.005
1055.700,8.550,8.000,5.000
1055.800,8.550,8.000,5.005
1055.900,8.550,8.000,5.000
1056.000,8.550,8.000,5.005
1056.100,8.550,8.000,5.005
1056.200,8.550,8.000,5.005
1056.300,8.550,8.000,5.005
1056.400,8.550,8.000,5.005
1056.500,8.550,8.000,5.005
1056.600,8.550,8.000,5.005
1056.700,8.550,8.000,5.005
1056.800,8.550,8.000,5.005
1056.900,8.550,8.000,5.005
1057.000,8.550,8.000,5.000
1057.100,8.550,8.000,5.005
1057.200,8.550,8.000,5.005
1057.300,8.550,8.000,5.000
1057.400,8.555,8.000,5.005
1057.500,8.550,8.000,5.005
1057.600,8.550,8.000,5.005
1057.700,8.550,8.000,5.005
1057.800,8.555,8.000,5.005
1057.900,8.555,8.000,5.005
1058.000,8.550,8.000,5.005
1058.100,8.550,8.000,5.005
1058.200,8.550,8.000,5.005
1058.300,8.550,8.000,5.005
1058.400,8.550,8.000,5.005
1058.500,8.555,8.000,5.005
1058.600,8.560,8.000,5.005
1058.700,8.564,8.000,5.005
1058.800,8.564,8.000,5.005
1058.900,8.564,8.000,5.005
1059.000,8.564,8.000,5.000
1059.100,8.569,8.000,5.005
1059.200,8.564,8.000,5.005
1059.300,8.564,8.000,5.005
1059.400,8.564,8.000,5.005
1059.500,8.564,8.000,5.005
1059.600,8.564,8.000,5.005
1059.700,8.560,8.000,5.005
1059.800,8.560,8.000,5.005
1059.900,8.560,8.000,5.005
1060.000,8.560,8.000,5.005
1060.100,8.555,8.000,5.005
1060.200,8.555,8.000,5.005
1060.300,8.555,8.000,5.005
1060.400,8.555,8.000,5.000
1060.500,8.550,8.000,5.000
1060.600,8.550,8.000,5.005
1060.700,8.550,8.000,5.005
1060.800,8.550,8.000,5.005
1060.900,8.550,8.000,5.005
1061.000,8.550,8.000,5.000
1061.100,8.550,8.000,5.005
1061.200,8.550,8.000,5.005
1061.300,8.550,8.000,5.005
1061.400,8.550,8.000,5.000
1061.500,8.550,8.000,5.005
1061.600,8.550,8.000,5.005
1061.700,8.550,8.000,5.005
1061.800,8.550,8.000,5.005
1061.900,8.550,8.000,5.005
1062.000,8.550,8.000,5.005
1062.100,8.550,8.000,5.005
1062.200,8.550,8.000,5.005
1062.300,8.550,8.000,5.000
1062.400,8.550,8.000,5.005
1062.500,8.550,8.000,5.005
1062.600,8.550,8.000,5.005
1062.700,8.550,8.000,5.005
1062.800,8.550,8.000,5.005
1062.900,8.550,8.000,5.005
1063.000,8.550,8.000,5.005
1063.100,8.550,8.000,5.005
1063.200,8.550,8.000,5.005
1063.300,8.550,8.000,5.005
1063.400,8.545,8.000,5.005
1063.500,8.545,8.000,5.005
1063.600,8.545,8.000,5.005
1063.700,8.545,8.000,5.005
1063.800,8.540,8.000,5.005
1063.900,8.540,8.000,5.005
1064.000,8.540,8.000,5.005
1064.100,8.540,8.000,5.000
1064.200,8.535,8.000,5.005
1064.300,8.535,8.000,5.000
1064.400,8.535,8.000,5.005
1064.500,8.535,8.000,5.005
1064.600,8.535,8.000,5.005
1064.700,8.535,8.000,5.005
1064.800,8.540,8.000,5.005
1064.900,8.540,8.000,5.005
1065.000,8.540,8.000,5.005
1065.100,8.540,8.000,5.005
1065.200,8.535,8.000,5.005
1065.300,8.535,8.000,5.005
1065.400,8.535,8.000,5.005
1065.500,8.540,8.000,5.005
1065.600,8.540,8.000,5.005
1065.700,8.540,8.000,5.005
1065.800,8.540,8.000,5.005
1065.900,8.540,8.000,5.005
1066.000,8.540,8.000,5.005
1066.100,8.545,8.000,5.005
1066.200,8.545,8.000,5.005
1066.300,8.545,8.000,5.005
1066.400,8.550,8.000,5.000
1066.500,8.550,8.000,5.005
1066.600,8.555,8.000,5.005
1066.700,8.560,8.000,5.005
1066.800,8.560,8.000,5.005
1066.900,8.560,8.000,5.005
1067.000,8.564,8.000,5.005
1067.100,8.564,8.000,5.005
1067.200,8.569,8.000,5.005
1067.300,8.574,8.000,5.005
1067.400,8.574,8.000,5.005
1067.500,8.574,8.000,5.005
1067.600,8.574,8.000,5.005
1067.700,8.574,8.000,5.005
1067.800,8.569,8.000,5.005
1067.900,8.569,8.000,5.005
1068.000,8.569,8.000,5.005
1068.100,8.569,8.000,5.005
1068.200,8.569,8.000,5.005
1068.300,8.569,8.000,5.005
1068.400,8.564,8.000,5.005
1068.500,8.564,8.000,5.005
1068.600,8.564,8.000,5.005
1068.700,8.560,8.000,5.005
1068.800,8.560,8.000,5.005
1068.900,8.560,8.000,5.005
1069.000,8.555,8.000,5.005
1069.100,8.555,8.000,5.005
1069.200,8.555,8.000,5.005
1069.300,8.555,8.000,5.000
1069.400,8.555,8.000,5.005
1069.500,8.555,8.000,5.005
1069.600,8.555,8.000,5.005
1069.700,8.555,8.000,5.005
1069.800,8.555,8.000,5.005
1069.900,8.555,8.000,5.005
1070.000,8.555,8.000,5.005
1070.100,8.555,8.000,5.005
1070.200,8.555,8.000,5.005
1070.300,8.555,8.000,5.005
1070.400,8.555,8.000,5.005
1070.500,8.555,8.000,5.005
1070.600,8.555,8.000,5.005
1070.700,8.555,8.000,5.005
1070.800,8.555,8.000,5.005
1070.900,8.550,8.000,5.000
1071.000,8.550,8.000,5.000
1071.100,8.550,8.000,5.005
1071.200,8.545,8.000,5.005
1071.300,8.545,8.000,5.005
1071.400,8.545,8.000,5.005
1071.500,8.545,8.000,5.005
1071.600,8.540,8.000,5.005
1071.700,8.540,8.000,5.005
1071.800,8.540,8.000,5.005
1071.900,8.540,8.000,5.005
1072.000,8.535,8.000,5.005
1072.100,8.535,8.000,5.005
1072.200,8.535,8.000,5.000
1072.300,8.540,8.000,5.005
1072.400,8.540,8.000,5.005
1072.500,8.540,8.000,5.005
1072.600,8.540,8.000,5.005
1072.700,8.540,8.000,5.000
1072.800,8.540,8.000,5.005
1072.900,8.540,8.000,5.005
1073.000,8.540,8.000,5.005
1073.100,8.540,8.000,5.005
1073.200,8.540,8.000,5.005
1073.300,8.540,8.000,5.005
1073.400,8.535,8.000,5.000
1073.500,8.535,8.000,5.005
1073.600,8.535,8.000,5.005
1073.700,8.535,8.000,5.005
1073.800,8.535,8.000,5.005
1073.900,8.535,8.000,5.005
1074.000,8.535,8.000,5.005
1074.100,8.535,8.000,5.000
1074.200,8.535,8.000,5.005
1074.300,8.535,8.000,5.000
1074.400,8.535,8.000,5.005
1074.500,8.535,8.000,5.005
1074.600,8.530,8.000,5.005
1074.700,8.530,8.000,5.005
1074.800,8.530,8.000,5.005
1074.900,8.530,8.000,5.005
1075.000,8.530,8.000,5.005
1075.100,8.530,8.000,5.005
1075.200,8.530,8.000,5.005
1075.300,8.535,8.000,5.005
1075.400,8.530,8.000,5.005
1075.500,8.530,8.000,5.005
1075.600,8.535,8.000,5.005
1075.700,8.535,8.000,5.005
1075.800,8.535,8.000,5.005
1075.900,8.535,8.000,5.005
1076.000,8.540,8.000,5.005
1076.100,8.540,8.000,5.000
1076.200,8.540,8.000,5.005
1076.300,8.545,8.000,5.005
1076.400,8.545,8.000,5.005
1076.500,8.545,8.000,5.005
1076.600,8.545,8.000,5.005
1076.700,8.545,8.000,5.005
1076.800,8.545,8.000,5.005
1076.900,8.545,8.000,5.005
1077.000,8.545,8.000,5.005
1077.100,8.545,8.000,5.005
1077.200,8.545,8.000,5.005
1077.300,8.545,8.000,5.005
1077.400,8.545,8.000,5.005
1077.500,8.540,8.000,5.005
1077.600,8.545,8.000,5.000
1077.700,8.545,8.000,5.000
1077.800,8.545,8.000,5.005
1077.900,8.550,8.000,5.005
1078.000,8.550,8.000,5.005
1078.100,8.555,8.000,5.005
1078.200,8.555,8.000,5.005
1078.300,8.560,8.000,5.005
1078.400,8.560,8.000,5.005
1078.500,8.560,8.000,5.005
1078.600,8.555,8.000,5.005
1078.700,8.555,8.000,5.005
1078.800,8.555,8.000,5.005
1078.900,8.550,8.000,5.000
1079.000,8.550,8.000,5.000
1079.100,8.550,8.000,5.005
1079.200,8.545,8.000,5.005
1079.300,8.540,8.000,5.005
1079.400,8.540,8.000,5.005
1079.500,8.540,8.000,5.005
1079.600,8.535,8.000,5.005
1079.700,8.535,8.000,5.005
1079.800,8.530,8.000,5.005
1079.900,8.530,8.000,5.005
