sigOut,sigIn,sigPot
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
0.005,0.000,7.070
