time,sigOut,sigIn,sigPot
564.000,5.361,4.000,0.005
564.100,5.361,4.000,0.000
564.200,5.361,4.000,0.005
564.300,5.361,4.000,0.000
564.400,5.361,4.000,0.005
564.500,5.361,4.000,0.005
564.600,5.361,4.000,0.005
564.700,5.361,4.000,0.005
564.800,5.361,4.000,0.005
564.900,5.361,4.000,0.005
565.000,5.361,4.000,0.005
565.100,5.361,4.000,0.005
565.200,5.361,4.000,0.000
565.300,5.361,4.000,0.005
565.400,5.361,4.000,0.000
565.500,5.361,4.000,0.000
565.600,5.361,4.000,0.005
565.700,5.361,4.000,0.005
565.800,5.361,4.000,0.000
565.900,5.361,4.000,0.005
566.000,5.361,4.000,0.005
566.100,5.361,4.000,0.005
566.200,5.361,4.000,0.005
566.300,5.361,4.000,0.005
566.400,5.361,4.000,0.005
566.500,5.361,4.000,0.000
566.600,5.361,4.000,0.005
566.700,5.366,4.000,0.000
566.800,5.366,4.000,0.005
566.900,5.361,4.000,0.000
567.000,5.366,4.000,0.005
567.100,5.366,4.000,0.005
567.200,5.371,4.000,0.005
567.300,5.371,4.000,0.005
567.400,5.371,4.000,0.005
567.500,5.371,4.000,0.005
567.600,5.371,4.000,0.005
567.700,5.371,4.000,0.005
567.800,5.376,4.000,0.005
567.900,5.376,4.000,0.000
568.000,5.376,4.000,0.005
568.100,5.376,4.000,0.000
568.200,5.376,4.000,0.005
568.300,5.376,4.000,0.000
568.400,5.376,4.000,0.005
568.500,5.376,4.000,0.005
568.600,5.376,4.000,0.000
568.700,5.376,4.000,0.000
568.800,5.376,4.000,0.005
568.900,5.376,4.000,0.005
569.000,5.376,4.000,0.005
569.100,5.376,4.000,0.005
569.200,5.376,4.000,0.005
569.300,5.376,4.000,0.005
569.400,5.381,4.000,0.005
569.500,5.381,4.000,0.005
569.600,5.381,4.000,0.000
569.700,5.381,4.000,0.005
569.800,5.381,4.000,0.005
569.900,5.381,4.000,0.005
570.000,5.381,4.000,0.005
570.100,5.381,4.000,0.005
570.200,5.381,4.000,0.000
570.300,5.381,4.000,0.005
570.400,5.376,4.000,0.000
570.500,5.376,4.000,0.005
570.600,5.381,4.000,0.005
570.700,5.376,4.000,0.005
570.800,5.376,4.000,0.005
570.900,5.376,4.000,0.005
571.000,5.376,4.000,0.005
571.100,5.376,4.000,0.005
571.200,5.376,4.000,0.005
571.300,5.376,4.000,0.000
571.400,5.376,4.000,0.000
571.500,5.376,4.000,0.005
571.600,5.376,4.000,0.005
571.700,5.376,4.000,0.005
571.800,5.376,4.000,0.005
571.900,5.376,4.000,0.005
572.000,5.371,4.000,0.005
572.100,5.371,4.000,0.005
572.200,5.371,4.000,0.005
572.300,5.371,4.000,0.005
572.400,5.371,4.000,0.005
572.500,5.371,4.000,0.005
572.600,5.371,4.000,0.005
572.700,5.371,4.000,0.005
572.800,5.371,4.000,0.005
572.900,5.371,4.000,0.005
573.000,5.371,4.000,0.005
573.100,5.371,4.000,0.000
573.200,5.371,4.000,0.000
573.300,5.371,4.000,0.005
573.400,5.371,4.000,0.000
573.500,5.371,4.000,0.005
573.600,5.371,4.000,0.005
573.700,5.371,4.000,0.005
573.800,5.371,4.000,0.005
573.900,5.366,4.000,0.005
574.000,5.371,4.000,0.005
574.100,5.366,4.000,0.000
574.200,5.371,4.000,0.005
574.300,5.366,4.000,0.005
574.400,5.366,4.000,0.005
574.500,5.366,4.000,0.005
574.600,5.371,4.000,0.005
574.700,5.366,4.000,0.005
574.800,5.371,4.000,0.005
574.900,5.366,4.000,0.005
575.000,5.371,4.000,0.005
575.100,5.371,4.000,0.005
575.200,5.371,4.000,0.005
575.300,5.371,4.000,0.005
575.400,5.371,4.000,0.005
575.500,5.371,4.000,0.005
575.600,5.371,4.000,0.000
575.700,5.371,4.000,0.005
575.800,5.371,4.000,0.005
575.900,5.371,4.000,0.005
576.000,5.371,4.000,0.005
576.100,5.371,4.000,0.005
576.200,5.371,4.000,0.005
576.300,5.366,4.000,0.005
576.400,5.366,4.000,0.005
576.500,5.371,4.000,0.005
576.600,5.366,4.000,0.005
576.700,5.371,4.000,0.005
576.800,5.371,4.000,0.005
576.900,5.371,4.000,0.005
577.000,5.371,4.000,0.000
577.100,5.371,4.000,0.005
577.200,5.371,4.000,0.005
577.300,5.371,4.000,0.005
577.400,5.371,4.000,0.005
577.500,5.371,4.000,0.005
577.600,5.371,4.000,0.005
577.700,5.371,4.000,0.005
577.800,5.366,4.000,0.005
577.900,5.366,4.000,0.005
578.000,5.366,4.000,0.005
578.100,5.371,4.000,0.005
578.200,5.366,4.000,0.005
578.300,5.366,4.000,0.005
578.400,5.366,4.000,0.005
578.500,5.366,4.000,0.000
578.600,5.366,4.000,0.000
578.700,5.366,4.000,0.005
578.800,5.366,4.000,0.000
578.900,5.366,4.000,0.005
579.000,5.366,4.000,0.005
579.100,5.366,4.000,0.005
579.200,5.361,4.000,0.005
579.300,5.361,4.000,0.000
579.400,5.361,4.000,0.005
579.500,5.361,4.000,0.005
579.600,5.361,4.000,0.005
579.700,5.361,4.000,0.000
579.800,5.361,4.000,0.005
579.900,5.361,4.000,0.000
580.000,5.361,4.000,0.000
580.100,5.361,4.000,0.000
580.200,5.361,4.000,0.005
580.300,5.356,4.000,0.005
580.400,5.356,4.000,0.005
580.500,5.356,4.000,0.005
580.600,5.356,4.000,0.005
580.700,5.356,4.000,0.005
580.800,5.356,4.000,0.000
580.900,5.356,4.000,0.005
581.000,5.356,4.000,0.005
581.100,5.356,4.000,0.000
581.200,5.356,4.000,0.005
581.300,5.356,4.000,0.005
581.400,5.352,4.000,0.005
581.500,5.352,4.000,0.005
581.600,5.352,4.000,0.005
581.700,5.352,4.000,0.005
581.800,5.352,4.000,0.005
