period_id,u,u2,y1,y2
0,0,4,3.7638,4.042
1,1,4,4.712,4.6879
2,2,4,5.7254,5.4325
3,3,4,6.7465,6.2101
4,4,4,7.6465,6.9637
5,5,4,8.3458,7.5855
6,6,4,8.8131,8.0287
7,7,4,9.0148,8.2242
8,8,4,9.0385,8.2658
9,9,4,9.0662,8.2872
10,10,4,9.082,8.3046
