period_id,u,u2,y1,y2
0,0,6,3.752,4.0632
1,1,6,4.5347,4.6035
2,2,6,5.371,5.2231
3,3,6,6.2517,5.8798
4,4,6,7.0813,6.5428
5,5,6,7.7823,7.1274
6,6,6,8.241,7.5505
7,7,6,8.4671,7.7653
8,8,6,8.4892,7.8042
9,9,6,8.5148,7.8349
10,10,6,8.53,7.8563
